,H0_Seed167,H1_Seed168,H2_Seed169,H3_Seed170,H4_Seed171,H5_Seed172,H6_Seed173,H7_Seed174,H8_Seed175,H9_Seed176
10,-1.3449290355688915e-203,-3.053720680517907e-29,3.6868628852653806e-17,-2.371944300680404e-64,-9.752321612621969e-05,0.0,-3.286886849018302e-212,0.0,-4.01829317043554e-15,-9.062239918684686e-110
11,-4.439027637818705e-196,-1.0079007992610947e-21,1.2168735904800446e-09,-7.828759754324266e-57,-0.00014839625697974921,-6.933633e-318,-1.0848588423108808e-204,0.0,-1.326264358094611e-07,-2.9910524939005954e-102
12,-5.3381058530788006e-189,-1.2120404725617084e-14,3.398384152439776e-06,-9.414392447312152e-50,-0.0001985751872430553,-8.3379668256047e-311,-1.3045855553064216e-197,0.0,0.00010967910401537919,-3.59685862023556e-95
13,-4.139914216093047e-182,-9.399857779032722e-08,7.742720276505596e-06,-7.301237218069142e-43,-0.00024791669861787665,-6.466426171512397e-304,-1.0117581844893365e-190,0.0,0.0002364572287371191,-2.789507466697632e-88
14,-1.545669100083444e-175,-0.0001565645693809679,1.2042057891783988e-05,-2.7259735760890304e-36,-0.0002962803353330342,-2.4142903933683996e-297,-3.777477698553812e-184,0.0,0.0002682202814848592,-1.0414842604624136e-81
15,1.623689285165414e-168,-0.0003482985217814031,1.628403211793623e-05,2.86357156709547e-29,-0.00034352889903654015,2.536155664095419e-290,3.968152086214582e-177,0.0,0.00022713500072358273,1.0940548881317194e-74
16,3.88478245346762e-161,-0.0005380239162565983,2.0456481089189748e-05,6.851281633581858e-22,-0.0003895288439180796,6.067917743351873e-283,9.494062526653594e-170,0.0,0.00018559749785415327,2.6175976348273662e-67
17,4.300724370098651e-154,-0.0007251939383109123,2.4547481374511375e-05,7.58484528821989e-15,-0.0004341506608966194,6.717606977273313e-276,1.0510587547360405e-162,0.0,0.00014373116303885897,2.897862640715616e-60
18,3.0832337382927977e-147,-0.0009092708346495098,2.8545382471077008e-05,5.437653957773918e-08,-0.00047726924973902644,4.815921851894283e-269,7.535148813677497e-156,0.0,0.000101659913310287,2.0775076693847914e-53
19,8.355502498099712e-141,-0.0010897274753290177,3.24388404754889e-05,9.447163671189137e-05,-0.0005187642780111742,1.3051053043566422e-262,2.04201043710355e-149,0.0,5.9507906879108347e-05,5.630004727106363e-47
20,-1.7300606980824322e-133,-0.0012660488819598308,3.621685083322232e-05,0.0002097502651833349,-0.0005585205257981763,-2.702304732051929e-255,-4.228114351124496e-142,0.0,1.7399178344282797e-05,-1.1657288009422921e-39
21,-3.3389456248705146e-126,-0.0014377337192080476,3.986878006943561e-05,0.0003238151639721612,-0.000596428215172093,-5.21533641689994e-248,-8.160085903221347e-135,0.0,-2.45427255027651e-05,-2.2498083934308755e-32
22,-3.4252031282693826e-119,-0.0016042957451730577,4.338439640686793e-05,0.00043633572573206064,-0.0006323833234251184,-5.350068140401797e-241,-8.370891563634085e-128,0.0,-6.619510820531833e-05,-2.3079293923759913e-25
23,-2.2506839173310077e-112,-0.0017652652163400084,4.675389917993406e-05,0.0005469868528075268,-0.0006662878791364251,-3.515503130559892e-234,-5.5004711576077944e-121,0.0,-0.00010743648342840979,-1.5165289097406771e-18
24,-3.2438436260372096e-106,-0.0019201902429358346,4.9967946957580544e-05,0.0006554499064537305,-0.0006980502401904757,-5.066789847552378e-228,-7.927665083227927e-115,0.0,-0.00014814693094122923,-2.1857279023865875e-12
25,1.7169888244898886e-98,-0.002068638090653582,5.301768429103961e-05,0.0007614136356878719,-0.0007275853529150445,2.6818868438875684e-220,4.1961678556098715e-107,0.0,-0.00018820844773974706,-2.320551193586662e-05
