,H0_Seed167,H1_Seed168,H2_Seed169,H3_Seed170,H4_Seed171,H5_Seed172,H6_Seed173,H7_Seed174,H8_Seed175,H9_Seed176
5021,-0.044043201321722396,-0.39692613886181827,0.08747793702258434,-0.4199395497419578,0.10485343709566862,-0.23496566233181768,0.040889846456242156,-0.012332301853157134,0.19670331975911148,0.028389367060874908
5022,-0.11301215833109762,-0.5527118795481716,0.04840773531967362,-0.38153359598803366,0.09105296463159819,-0.20930824553515323,-0.005348578523253244,0.10496859793927224,0.17420591055716494,0.030568576119727065
5023,-0.17166852201144023,-0.6619584168905911,0.006393187475268712,-0.3141350160319501,0.07043290517462565,-0.16784405129226623,-0.05017636975470491,0.21154793244034054,0.13857715755289324,0.030312046587846562
5024,-0.21564580673249328,-0.7171125945834027,-0.03521908231943882,-0.22362680446874886,0.04474965068049479,-0.11414932530580373,-0.09011930751658376,0.29930181881461787,0.0928804483264654,0.02769146074727046
5025,-0.2418166029918707,-0.7150085987315308,-0.07318393285497417,-0.11757570962019967,0.016118712520065425,-0.052681739422387054,-0.12215780159014757,0.36176784757861713,0.04090224446747222,0.022961837968425717
5026,-0.24851156227895424,-0.6570249199463122,-0.10460939444152419,-0.004605702556568743,-0.013158138483994419,0.011586423840509237,-0.14395364659790003,0.39459656810071836,-0.013158971540187976,0.016537804295921058
5027,-0.23561986456886141,-0.5488826478020419,-0.12717560096915906,0.10629848157181584,-0.04077677817401754,0.0735678638757491,-0.15401885534494125,0.39584808182704434,-0.06502963834432242,0.008957860877745335
5028,-0.20456569201813468,-0.40010809457611557,-0.13930449505281037,0.20650183172842831,-0.06461107016512625,0.12846070788684488,-0.15181452574150694,0.3660940558840708,-0.11069706326700265,0.0008396883295166831
5029,-0.1581650440618855,-0.2232085559654015,-0.14026801495832678,0.28838769237896156,-0.08287559981524864,0.17211845330233522,-0.137773411085974,0.3083210870176228,-0.14671810347930944,-0.007169834990219642
5030,-0.10037651014129532,-0.03263150403531489,-0.13022753164268697,0.34593303732061054,-0.09425841588247488,0.20151152481078466,-0.11324596171415413,0.2276469771822997,-0.17047696469427562,-0.01072308748940432
5031,-0.03596764889903964,0.1564069299231419,-0.11020283038622232,0.37514721571165693,-0.09801398849755728,0.12078570549229503,-0.08037560242062153,0.13087590093170098,-0.18037295333339934,0.0017707629067446095
5032,0.02987519552591328,0.32912978846958063,-0.08197448466486684,0.37434255171546477,-0.09400990287914272,0.01806367325696123,-0.041914439245372026,0.02593055031415173,-0.1759248855719877,0.01386682718734358
5033,0.09196193125140796,0.47234807386885785,-0.047928611765271384,0.3442189809011722,-0.0827245615595296,-0.08386660625448734,-0.0009950337507734866,-0.07879177590497739,-0.15778565039431136,0.024616258606343738
5034,0.14550558363606592,0.5754616444928694,-0.010857336304898761,0.28775983311835923,-0.06519706119956152,-0.17703212076751515,0.03912298492367189,-0.17508714456257687,-0.127667593586742,0.033205035405395586
5035,0.18648925708335173,0.6312367363775041,0.026268504775029657,0.20995073293011812,-0.04293413588974882,-0.2543140586106454,0.07531110019523443,-0.25558417402750844,-0.08818636698468911,0.03900558944471172
5036,0.2119652212273217,0.6363036353920236,0.06053603373972218,0.11734721958475877,-0.017782327974494076,-0.3099884099235616,0.10481453864962766,-0.314304891055128,-0.04263712833685835,0.041622165426980905
5037,0.22026402917377338,0.5913411004827316,0.08931762750419202,0.01752804789436014,0.008223886753770284,-0.3401461297980452,0.1254606331302136,-0.34710484431793,0.0052779915332807625,0.040917071261725606
5038,0.21109907272548722,0.5009393766568917,0.11047119290058804,-0.08152063559735985,0.03302561965271505,-0.3429623227384649,0.13581726083216955,-0.35196037609421366,0.05239710751426645,0.0370161448447971
5039,0.18556047496477274,0.37315902090386466,0.12249824858983835,-0.17204052012234552,0.05470166822919207,-0.3187963636773078,0.13528992780776933,-0.32908358541106597,0.10134923690768426,0.030293426773544428
5040,0.14600102823417369,0.21882629935029554,0.12464825384110355,-0.2471055054750661,0.0716164973279489,-0.27011850072780574,0.12415111429159391,-0.2808594280626136,0.14128903036915563,0.021336660962265476
